FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Abedin Sham, Cornell,Abedin Sham,2004,2,https://cornellbigred.com/sports/mens-tennis/roster/abedin-sham/32227,"Mumbai, India",H.R. College of Commerce,['Sophomore' 'Junior'],Cornell University,Abedin,M,Sham,,,Abedin Sham,"[""2002-03 Men's Tennis Roster"" ""2003-04 Men's Tennis Roster""]"
Al Hill, Cornell,Al Hill,2017,1,https://cornellbigred.com/sports/mens-tennis/roster/al-hill/43476,"Atlanta, Ga.",The Westminster Schools,['Freshman'],Cornell University,Al,M,Hill,,,Al Hill,"[""2016-17 Men's Tennis Roster""]"
Alafia Ayeni, Cornell,Alafia Ayeni,2020,3,,"San Diego, Calif.",Westview HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Alafia,M,Ayeni,,,Alafia Ayeni,"[""2017-18 Men's Tennis Roster"" ""2018-19 Men's Tennis Roster""
 ""2019-20 Men's Tennis Roster""]"
Albert Trostel, Cornell,Albert Trostel,1953,1,,"Milkauwee, Wis.",Exeter,['Sophomore'],Cornell University,Albert,M,Trostel,O.,,Albert O. Trostel,"[""1952-53 Men's Tennis Roster""]"
Alex Kim, Cornell,Alex Kim,2005,1,,"Beaverton, Ore.",Southside HS,['Freshman'],Cornell University,Alex,M,Kim,,,Alex Kim,"[""2004-05 Men's Tennis Roster""]"
Alex Sidney, Cornell,Alex Sidney,2015,4,https://cornellbigred.com/sports/mens-tennis/roster/alex-sidney/39561,"Baltimore, Md.",McDonogh School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Alex,M,Sidney,,,Alex Sidney,"[""2011-12 Men's Tennis Roster"" ""2012-13 Men's Tennis Roster""
 ""2013-14 Men's Tennis Roster"" ""2014-15 Men's Tennis Roster""]"
Alexander Champion, Cornell,Alexander Champion,1962,2,,"Dayton, O.",Lawrenceville,['Sophomore' 'Junior'],Cornell University,Alexander,M,Champion,B.,,Alexander B. Champion,"[""1960-61 Men's Tennis Roster"" ""1961-62 Men's Tennis Roster""]"
Alexander Wilton, Cornell,Alexander Wilton,2014,2,https://cornellbigred.com/sports/mens-tennis/roster/alexander-wilton/35239,"Ashtead, England",Reeds School,['Junior' 'Senior'],Cornell University,Alexander,M,Wilton,,,Alexander Wilton,"[""2012-13 Men's Tennis Roster"" ""2013-14 Men's Tennis Roster""]"
Alveric Kegerreis, Cornell,Alveric Kegerreis,1955,3,,"Lancaster, Pa.",Lancaster HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Alveric,M,Kegerreis,,,Alveric Kegerreis,"[""1952-53 Men's Tennis Roster"" ""1953-1954 Men's Tennis Roster""
 ""1954-55 Men's Tennis Roster""]"
Andrew Dykeman, Cornell,Andrew Dykeman,2018,4,https://cornellbigred.com/sports/mens-tennis/roster/andrew-dykeman/45225,"Leawood, Kan.",Saint Andrew's School (Fla.),['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Andrew,M,Dykeman,,,Andrew Dykeman,"[""2014-15 Men's Tennis Roster"" ""2015-16 Men's Tennis Roster""
 ""2016-17 Men's Tennis Roster"" ""2017-18 Men's Tennis Roster""]"
Andrew Hong, Cornell,Andrew Hong,2006,3,https://cornellbigred.com/sports/mens-tennis/roster/andrew-hong/32251,"Hewlett, N.Y.",G.W. Hewlett HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Andrew,M,Hong,,,Andrew Hong,"[""2003-04 Men's Tennis Roster"" ""2004-05 Men's Tennis Roster""
 ""2005-06 Men's Tennis Roster""]"
Andro Zunic, Cornell,Andro Zunic,2013,2,https://cornellbigred.com/sports/mens-tennis/roster/andro-zunic/31445,"Zagreb, Croatia",American International School of Zagreb,['Freshman' 'Sophomore'],Cornell University,Andro,M,Zunic,,,Andro Zunic,"[""2011-12 Men's Tennis Roster"" ""2012-13 Men's Tennis Roster""]"
Andy Gauthier, Cornell,Andy Gauthier,2011,4,https://cornellbigred.com/sports/mens-tennis/roster/andy-gauthier/13231,"Ann Arbor, Mich.",Pioneer HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Andy,M,Gauthier,,,Andy Gauthier,"[""2007-08 Men's Tennis Roster"" ""2008-09 Men's Tennis Roster""
 ""2009-10 Men's Tennis Roster"" ""2010-11 Men's Tennis Roster""]"
Aravinda Neuman, Cornell,Aravinda Neuman,2004,3,https://cornellbigred.com/sports/mens-tennis/roster/aravinda-neuman/32224,"London, England",Winchester College,['Sophomore' 'Junior' 'Senior'],Cornell University,Aravinda,M,Neuman,,,Aravinda Neuman,"[""2001-02 Men's Tennis Roster"" ""2002-03 Men's Tennis Roster""
 ""2003-04 Men's Tennis Roster""]"
Arthur Gorstenfeld, Cornell,Arthur Gorstenfeld,1948,2,,"Brooklyn, N.Y.",Midwood H.,['Freshman' 'Sophomore'],Cornell University,Arthur,M,Gorstenfeld,,,Arthur Gorstenfeld,"[""1946-47 Men's Tennis Roster"" ""1947-48 Men's Tennis Roster""]"
Ashish Bhandari, Cornell,Ashish Bhandari,2010,4,https://cornellbigred.com/sports/mens-tennis/roster/ashish-bhandari/11861,"Richmond Hill, Ont.",Bayview SS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Ashish,M,Bhandari,,,Ashish Bhandari,"[""2006-07 Men's Tennis Roster"" ""2007-08 Men's Tennis Roster""
 ""2008-09 Men's Tennis Roster"" ""2009-10 Men's Tennis Roster""]"
Barry Poskanzer, Cornell,Barry Poskanzer,1966,2,,"Teaneck, NJ",Teaneck HS,['Sophomore' 'Junior'],Cornell University,Barry,M,Poskanzer,,,Barry Poskanzer,"[""1964-65 Men's Tennis Roster"" ""1965-66 Men's Tennis Roster""]"
Barton Brownstein, Cornell,Barton Brownstein,1956,1,,"Woodmere, NY",Southside HS,['Sophomore'],Cornell University,Barton,M,Brownstein,P.,,Barton P. Brownstein,"[""1955-56 Men's Tennis Roster""]"
Bernard Pinn, Cornell,Bernard Pinn,1952,1,,"Bedford, NY.",Exeter,['Sophomore'],Cornell University,Bernard,M,Pinn,,,Bernard Pinn,"[""1951-52 Men's Tennis Roster""]"
Bernard Carrey, Cornell,Bernard Carrey,1960,1,,"Teaneck, NJ",Teaneck HS,['Sophomore'],Cornell University,Bernard,M,Carrey,S.,,Bernard S. Carrey,"[""1959-60 Men's Tennis Roster""]"
Bernard Finn, Cornell,Bernard Finn,1954,2,,"Bedford Hills, NY.",Exeter,['Junior' 'Senior'],Cornell University,Bernard,M,Finn,S.,,Bernard S. Finn,"[""1952-53 Men's Tennis Roster"" ""1953-1954 Men's Tennis Roster""]"
Bernardo Casares Rosa, Cornell,Bernardo Casares Rosa,2017,4,https://cornellbigred.com/sports/mens-tennis/roster/bernardo-casares-rosa/43468,"Quito, Ecuador",Colegio Compuinformatica,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Bernardo,M,Rosa,Casares, Casares,Bernardo Casares Rosa,"[""2013-14 Men's Tennis Roster"" ""2014-15 Men's Tennis Roster""
 ""2015-16 Men's Tennis Roster"" ""2016-17 Men's Tennis Roster""]"
Brandon Smyth, Cornell,Brandon Smyth,2008,1,https://cornellbigred.com/sports/mens-tennis/roster/brandon-smyth/5793,"Old Bethpage, N.Y.",Plainview JFK Old Bethpage,['Freshman'],Cornell University,Brandon,M,Smyth,,,Brandon Smyth,"[""2007-08 Men's Tennis Roster""]"
Brett Cromwell, Cornell,Brett Cromwell,2013,3,https://cornellbigred.com/sports/mens-tennis/roster/brett-cromwell/31432,"Buffalo, N.Y.",Nick Bollettieri Tennis Academy,['Sophomore' 'Junior' 'Senior'],Cornell University,Brett,M,Cromwell,,,Brett Cromwell,"[""2010-11 Men's Tennis Roster"" ""2011-12 Men's Tennis Roster""
 ""2012-13 Men's Tennis Roster""]"
Brett McKeon, Cornell,Brett McKeon,2006,4,https://cornellbigred.com/sports/mens-tennis/roster/brett-mckeon/32253,"Boca Raton, Fla.",Boca Raton HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Brett,M,McKeon,,,Brett McKeon,"[""2002-03 Men's Tennis Roster"" ""2003-04 Men's Tennis Roster""
 ""2004-05 Men's Tennis Roster"" ""2005-06 Men's Tennis Roster""]"
Brian Miscall, Cornell,Brian Miscall,1958,1,,"Forest Hills, NY",Choate,['Sophomore'],Cornell University,Brian,M,Miscall,G.,,Brian G. Miscall,"[""1957-58 Men's Tennis Roster""]"
Bruce Boselli, Cornell,Bruce Boselli,1952,1,,"Union City, NJ.",Blair,['Sophomore'],Cornell University,Bruce,M,Boselli,,,Bruce Boselli,"[""1951-52 Men's Tennis Roster""]"
Bruce Welsh, Cornell,Bruce Welsh,1951,1,,"Orlando, Fla.",Asheville,['Senior'],Cornell University,Bruce,M,Welsh,H.,,Bruce H. Welsh,"[""1950-51 Men's Tennis Roster""]"
Bryant Yung, Cornell,Bryant Yung,2009,4,https://cornellbigred.com/sports/mens-tennis/roster/bryant-yung/10740,"San Marino, Calif.",San Marino HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Bryant,M,Yung,,,Bryant Yung,"[""2005-06 Men's Tennis Roster"" ""2006-07 Men's Tennis Roster""
 ""2007-08 Men's Tennis Roster"" ""2008-09 Men's Tennis Roster""]"
C. Warren Haas, Cornell,C. Warren Haas,1953,3,,"Reading, Pa.",Reading HS,['Sophomore' 'Junior' 'Senior'],Cornell University,C.,M,Haas,Warren, Warren,C. Warren Haas,"[""1950-51 Men's Tennis Roster"" ""1951-52 Men's Tennis Roster""
 ""1952-53 Men's Tennis Roster""]"
Charles Knight, Cornell,Charles Knight,1957,3,,"Winnetka, Ill.",New Trier,['Sophomore' 'Junior' 'Senior'],Cornell University,Charles,M,Knight,F.,,Charles F. Knight,"[""1954-55 Men's Tennis Roster"" ""1955-56 Men's Tennis Roster""
 ""1956-57 Men's Tennis Roster""]"
Charles Koepke, Cornell,Charles Koepke,1966,2,,"Pittsburgh, Pa.",Mt. Lebanon HS,['Sophomore' 'Junior'],Cornell University,Charles,M,Koepke,,,Charles Koepke,"[""1964-65 Men's Tennis Roster"" ""1965-66 Men's Tennis Roster""]"
Charles Bernstein, Cornell,Charles Bernstein,1956,3,,"Woodmere, NY",Woodmere HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Charles,M,Bernstein,L.,,Charles L. Bernstein,"[""1953-1954 Men's Tennis Roster"" ""1954-55 Men's Tennis Roster""
 ""1955-56 Men's Tennis Roster""]"
Charles Thorp, Cornell,Charles Thorp,1960,1,,"Pittsburgh, Pa.",Shady Side A.,['Sophomore'],Cornell University,Charles,M,Thorp,M.,,Charles M. Thorp,"[""1959-60 Men's Tennis Roster""]"
Charles Quay, Cornell,Charles Quay,2013,4,,"Seattle, Wash.",Seattle Prep,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Charles,M,Quay,,,Charles Quay,"[""2009-10 Men's Tennis Roster"" ""2010-11 Men's Tennis Roster""
 ""2011-12 Men's Tennis Roster"" ""2012-13 Men's Tennis Roster""]"
Charles Henderson, Cornell,Charles Henderson,1964,1,,"Ithaca, NY",Ithaca HS,['Senior'],Cornell University,Charles,M,Henderson,R.,,Charles R. Henderson,"[""1963-64 Men's Tennis Roster""]"
