Field4,Field7_Text,Field7_Link,Field1,Field8,Field9,Field11,Field2_Text,Field3_Text
,Maria Adiaconitei,https://cornellbigred.com/sports/womens-tennis/roster/maria-adiaconitei/50448,Sophomore,"Bethesda, Md.",Laurel Springs HS,2019-20 Women's Tennis Roster,Maria Adiaconitei,
,Sarah Campbell,https://cornellbigred.com/sports/womens-tennis/roster/sarah-campbell/50449,Sophomore,"Sudbury, Mass.",Lincoln Sudbury HS,2019-20 Women's Tennis Roster,Sarah Campbell,
,Michelle Deng,https://cornellbigred.com/sports/womens-tennis/roster/michelle-deng/52726,Freshman,"Temple City, Calif.",Arcadia HS,2019-20 Women's Tennis Roster,Michelle Deng,
,Fatima El Ashram,https://cornellbigred.com/sports/womens-tennis/roster/fatima-el-ashram/51073,Freshman,"Zamalek, Cairo, Egypt",Weil College Prep,2019-20 Women's Tennis Roster,Fatima El Ashram,
,Valerie Ho,https://cornellbigred.com/sports/womens-tennis/roster/valerie-ho/50450,Sophomore,"Silver Spring, Md.",Montgomery Blair HS,2019-20 Women's Tennis Roster,Valerie Ho,
,Ashley Huang,https://cornellbigred.com/sports/womens-tennis/roster/ashley-huang/51072,Freshman,"Wexford, Pa.",North Allegheny HS,2019-20 Women's Tennis Roster,Ashley Huang,
,Katherine Nguyen,https://cornellbigred.com/sports/womens-tennis/roster/katherine-nguyen/50451,Sophomore,"Fountain Valley, Calif.",Capistrano Connections Academy,2019-20 Women's Tennis Roster,Katherine Nguyen,
,Megan Polnet,https://cornellbigred.com/sports/womens-tennis/roster/megan-polnet/51074,Freshman,"Churchville, Pa.",Laurel Springs,2019-20 Women's Tennis Roster,Megan Polnet,
,Khary Pryce,https://cornellbigred.com/sports/womens-tennis/roster/khary-pryce/50452,Sophomore,"Ellicott City, Md.",McDonogh School,2019-20 Women's Tennis Roster,Khary Pryce,
,Maria Adiaconitei,https://cornellbigred.com/sports/womens-tennis/roster/maria-adiaconitei/48111,Freshman,"Bethesda, Md.",Laurel Springs HS,2018-19 Women's Tennis Roster,Maria Adiaconitei,
,,,Freshman,"Sudbury, Mass.",Lincoln Sudbury HS,2018-19 Women's Tennis Roster,,Sarah Campbell
,Valerie Ho,https://cornellbigred.com/sports/womens-tennis/roster/valerie-ho/48109,Freshman,"Silver Spring, Md.",Montgomery Blair HS,2018-19 Women's Tennis Roster,Valerie Ho,
,Mariko Iinuma,https://cornellbigred.com/sports/womens-tennis/roster/mariko-iinuma/48107,Senior,"San Mateo, Calif.",Hillsdale HS,2018-19 Women's Tennis Roster,Mariko Iinuma,
,Katherine Nguyen,https://cornellbigred.com/sports/womens-tennis/roster/katherine-nguyen/48108,Freshman,"Fountain Valley, Calif.",Capistrano Connections Academy,2018-19 Women's Tennis Roster,Katherine Nguyen,
,Khary Pryce,https://cornellbigred.com/sports/womens-tennis/roster/khary-pryce/48112,Freshman,"Ellicott City, Md.",McDonogh School,2018-19 Women's Tennis Roster,Khary Pryce,
,Ananya Dua,https://cornellbigred.com/sports/womens-tennis/roster/ananya-dua/45215,Sophomore,"Pittsburgh, Pa.",Shady Side Academy,2017-18 Women's Tennis Roster,Ananya Dua,
,Ana Elhom,https://cornellbigred.com/sports/womens-tennis/roster/ana-elhom/45237,Freshman,"Potomac, Md.",Bullis School,2017-18 Women's Tennis Roster,Ana Elhom,
,Mariko Iinuma,https://cornellbigred.com/sports/womens-tennis/roster/mariko-iinuma/45217,Junior,"San Mateo, Calif.",Hillsdale HS,2017-18 Women's Tennis Roster,Mariko Iinuma,
,Cheyenne Lilienthal,https://cornellbigred.com/sports/womens-tennis/roster/cheyenne-lilienthal/45239,Freshman,"Land O' Lakes, Fla.",Academy at the Lakes,2017-18 Women's Tennis Roster,Cheyenne Lilienthal,
,Priyanka Shah,https://cornellbigred.com/sports/womens-tennis/roster/priyanka-shah/45220,Senior,"Somerset, N.J.",Lake Nona HS (Fla.),2017-18 Women's Tennis Roster,Priyanka Shah,
,Madison Stevens,https://cornellbigred.com/sports/womens-tennis/roster/madison-stevens/45221,Senior,"Mendham, N.J.",The Pingry School,2017-18 Women's Tennis Roster,Madison Stevens,
,Michelle Wang,https://cornellbigred.com/sports/womens-tennis/roster/michelle-wang/45223,Junior,"Sammamish, Wash.",Redmond HS,2017-18 Women's Tennis Roster,Michelle Wang,
,Marika Cusick,https://cornellbigred.com/sports/womens-tennis/roster/marika-cusick/42561,Senior,"Hinsdale, Ill.",Hinsdale Central HS,2016-17 Women's Tennis Roster,Marika Cusick,
,Alexandra D'Ascenzo,https://cornellbigred.com/sports/womens-tennis/roster/alexandra-d-ascenzo/42562,Senior,"West Bloomfield, Mich.",Frankel Jewish Academy,2016-17 Women's Tennis Roster,Alexandra D'Ascenzo,
,Ananya Dua,https://cornellbigred.com/sports/womens-tennis/roster/ananya-dua/42571,Freshman,"Pittsburgh, Pa.",Shady Side Academy,2016-17 Women's Tennis Roster,Ananya Dua,
,Allegra Hanlon,https://cornellbigred.com/sports/womens-tennis/roster/allegra-hanlon/42563,Junior,"Key Biscayne, Fla.",Ransom Everglades School,2016-17 Women's Tennis Roster,Allegra Hanlon,
,Mariko Iinuma,https://cornellbigred.com/sports/womens-tennis/roster/mariko-iinuma/42564,Sophomore,"San Mateo, Calif.",Hillsdale HS,2016-17 Women's Tennis Roster,Mariko Iinuma,
,Maria Perez de la Llave,https://cornellbigred.com/sports/womens-tennis/roster/maria-perez-de-la-llave/42570,Freshman,"Madrid, Spain",Saint Anne's School,2016-17 Women's Tennis Roster,Maria Perez de la Llave,
,Mariam Salakaia,https://cornellbigred.com/sports/womens-tennis/roster/mariam-salakaia/42572,Freshman,"Falls Church, Va.",George Mason HS,2016-17 Women's Tennis Roster,Mariam Salakaia,
,Priyanka Shah,https://cornellbigred.com/sports/womens-tennis/roster/priyanka-shah/42566,Junior,"Somerset, N.J.",Lake Nona HS (Fla.),2016-17 Women's Tennis Roster,Priyanka Shah,
,Madison Stevens,https://cornellbigred.com/sports/womens-tennis/roster/madison-stevens/42567,Junior,"Mendham, N.J.",The Pingry School,2016-17 Women's Tennis Roster,Madison Stevens,
,Lizzie Stewart,https://cornellbigred.com/sports/womens-tennis/roster/lizzie-stewart/42568,Junior,"Oakton, Va.",Oakton HS,2016-17 Women's Tennis Roster,Lizzie Stewart,
,Michelle Wang,https://cornellbigred.com/sports/womens-tennis/roster/michelle-wang/42569,Sophomore,"Sammamish, Wash.",Redmond HS,2016-17 Women's Tennis Roster,Michelle Wang,
,Marika Cusick,https://cornellbigred.com/sports/womens-tennis/roster/marika-cusick/41165,Junior,"Hinsdale, Ill.",Hinsdale Central HS,2015-16 Women's Tennis Roster,Marika Cusick,
