FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Katherine Nguyen, Cornell,Katherine Nguyen,2020,2,https://cornellbigred.com/sports/womens-tennis/roster/katherine-nguyen/50451,"Fountain Valley, Calif.",Capistrano Connections Academy,['Freshman' 'Sophomore'],Cornell University,Katherine,F,Nguyen,,,Katherine Nguyen,"[""2018-19 Women's Tennis Roster"" ""2019-20 Women's Tennis Roster""]"
Ashley Huang, Cornell,Ashley Huang,2020,1,https://cornellbigred.com/sports/womens-tennis/roster/ashley-huang/51072,"Wexford, Pa.",North Allegheny HS,['Freshman'],Cornell University,Ashley,F,Huang,,,Ashley Huang,"[""2019-20 Women's Tennis Roster""]"
Valerie Ho, Cornell,Valerie Ho,2020,2,https://cornellbigred.com/sports/womens-tennis/roster/valerie-ho/50450,"Silver Spring, Md.",Montgomery Blair HS,['Freshman' 'Sophomore'],Cornell University,Valerie,F,Ho,,,Valerie Ho,"[""2018-19 Women's Tennis Roster"" ""2019-20 Women's Tennis Roster""]"
Khary Pryce, Cornell,Khary Pryce,2020,2,https://cornellbigred.com/sports/womens-tennis/roster/khary-pryce/50452,"Ellicott City, Md.",McDonogh School,['Freshman' 'Sophomore'],Cornell University,Khary,F,Pryce,,,Khary Pryce,"[""2018-19 Women's Tennis Roster"" ""2019-20 Women's Tennis Roster""]"
Fatima El Ashram, Cornell,Fatima El Ashram,2020,1,https://cornellbigred.com/sports/womens-tennis/roster/fatima-el-ashram/51073,"Zamalek, Cairo, Egypt",Weil College Prep,['Freshman'],Cornell University,Fatima,F,Ashram,El, El,Fatima El Ashram,"[""2019-20 Women's Tennis Roster""]"
Maria Adiaconitei, Cornell,Maria Adiaconitei,2020,2,https://cornellbigred.com/sports/womens-tennis/roster/maria-adiaconitei/50448,"Bethesda, Md.",Laurel Springs HS,['Freshman' 'Sophomore'],Cornell University,Maria,F,Adiaconitei,,,Maria Adiaconitei,"[""2018-19 Women's Tennis Roster"" ""2019-20 Women's Tennis Roster""]"
Megan Polnet, Cornell,Megan Polnet,2020,1,https://cornellbigred.com/sports/womens-tennis/roster/megan-polnet/51074,"Churchville, Pa.",Laurel Springs,['Freshman'],Cornell University,Megan,F,Polnet,,,Megan Polnet,"[""2019-20 Women's Tennis Roster""]"
Michelle Deng, Cornell,Michelle Deng,2020,1,https://cornellbigred.com/sports/womens-tennis/roster/michelle-deng/52726,"Temple City, Calif.",Arcadia HS,['Freshman'],Cornell University,Michelle,F,Deng,,,Michelle Deng,"[""2019-20 Women's Tennis Roster""]"
Sarah Campbell, Cornell,Sarah Campbell,2020,2,https://cornellbigred.com/sports/womens-tennis/roster/sarah-campbell/50449,"Sudbury, Mass.",Lincoln Sudbury HS,['Freshman' 'Sophomore'],Cornell University,Sarah,F,Campbell,,,Sarah Campbell,"[""2018-19 Women's Tennis Roster"" ""2019-20 Women's Tennis Roster""]"
Mariko Iinuma, Cornell,Mariko Iinuma,2019,4,https://cornellbigred.com/sports/womens-tennis/roster/mariko-iinuma/48107,"San Mateo, Calif.",Hillsdale HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Mariko,F,Iinuma,,,Mariko Iinuma,"[""2015-16 Women's Tennis Roster"" ""2016-17 Women's Tennis Roster""
 ""2017-18 Women's Tennis Roster"" ""2018-19 Women's Tennis Roster""]"
Madison Stevens, Cornell,Madison Stevens,2018,4,https://cornellbigred.com/sports/womens-tennis/roster/madison-stevens/45221,"Mendham, N.J.",The Pingry School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Madison,F,Stevens,,,Madison Stevens,"[""2014-15 Women's Tennis Roster"" ""2015-16 Women's Tennis Roster""
 ""2016-17 Women's Tennis Roster"" ""2017-18 Women's Tennis Roster""]"
Michelle Wang, Cornell,Michelle Wang,2018,3,https://cornellbigred.com/sports/womens-tennis/roster/michelle-wang/45223,"Sammamish, Wash.",Redmond HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Michelle,F,Wang,,,Michelle Wang,"[""2015-16 Women's Tennis Roster"" ""2016-17 Women's Tennis Roster""
 ""2017-18 Women's Tennis Roster""]"
Priyanka Shah, Cornell,Priyanka Shah,2018,4,https://cornellbigred.com/sports/womens-tennis/roster/priyanka-shah/45220,"Somerset, N.J.",Lake Nona HS (Fla.),['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Priyanka,F,Shah,,,Priyanka Shah,"[""2014-15 Women's Tennis Roster"" ""2015-16 Women's Tennis Roster""
 ""2016-17 Women's Tennis Roster"" ""2017-18 Women's Tennis Roster""]"
Cheyenne Lilienthal, Cornell,Cheyenne Lilienthal,2018,1,https://cornellbigred.com/sports/womens-tennis/roster/cheyenne-lilienthal/45239,"Land O' Lakes, Fla.",Academy at the Lakes,['Freshman'],Cornell University,Cheyenne,F,Lilienthal,,,Cheyenne Lilienthal,"[""2017-18 Women's Tennis Roster""]"
Ananya Dua, Cornell,Ananya Dua,2018,2,https://cornellbigred.com/sports/womens-tennis/roster/ananya-dua/45215,"Pittsburgh, Pa.",Shady Side Academy,['Freshman' 'Sophomore'],Cornell University,Ananya,F,Dua,,,Ananya Dua,"[""2016-17 Women's Tennis Roster"" ""2017-18 Women's Tennis Roster""]"
Ana Elhom, Cornell,Ana Elhom,2018,1,https://cornellbigred.com/sports/womens-tennis/roster/ana-elhom/45237,"Potomac, Md.",Bullis School,['Freshman'],Cornell University,Ana,F,Elhom,,,Ana Elhom,"[""2017-18 Women's Tennis Roster""]"
Marika Cusick, Cornell,Marika Cusick,2017,4,https://cornellbigred.com/sports/womens-tennis/roster/marika-cusick/42561,"Hinsdale, Ill.",Hinsdale Central HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Marika,F,Cusick,,,Marika Cusick,"[""2013-14 Women's Tennis Roster"" ""2014-15 Women's Tennis Roster""
 ""2015-16 Women's Tennis Roster"" ""2016-17 Women's Tennis Roster""]"
Lizzie Stewart, Cornell,Lizzie Stewart,2017,3,https://cornellbigred.com/sports/womens-tennis/roster/lizzie-stewart/42568,"Oakton, Va.",Oakton HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Lizzie,F,Stewart,,,Lizzie Stewart,"[""2014-15 Women's Tennis Roster"" ""2015-16 Women's Tennis Roster""
 ""2016-17 Women's Tennis Roster""]"
Allegra Hanlon, Cornell,Allegra Hanlon,2017,3,https://cornellbigred.com/sports/womens-tennis/roster/allegra-hanlon/42563,"Key Biscayne, Fla.",Ransom Everglades School,['Freshman' 'Sophomore' 'Junior'],Cornell University,Allegra,F,Hanlon,,,Allegra Hanlon,"[""2014-15 Women's Tennis Roster"" ""2015-16 Women's Tennis Roster""
 ""2016-17 Women's Tennis Roster""]"
