FirstLast,Last,First,Year,YearsPlayed
Sylvia Bartok,Bartok,Sylvia,1981,1
Janet Christiansen,Christiansen,Janet,1983,4
Debbie Donovan,Donovan,Debbie,1979,1
Ellen Federman,Federman,Ellen,1980,2
Dale Feuer,Feuer,Dale,1979,1
Jennifer Gardiner,Gardiner,Jennifer,1979,1
Kady Gjessing,Gjessing,Kady,1982,2
Janice Gold,Gold,Janice,1981,2
Heidi Heichemer,Heichemer,Heidi,1981,1
Jody Hill,Hill,Jody,1980,2
Caroline Kapusta,Kapusta,Caroline,1979,1
Bette Kirschstein,Kirschstein,Bette,1979,1
Cara Noferi,Noferi,Cara,1983,1
Hisako Ohkuma,Ohkuma,Hisako,1981,2
Caryl Ohrbach,Ohrbach,Caryl,1979,1
Deborah Osgood,Osgood,Deborah,1981,3
Jackie Pollack,Pollack,Jackie,1981,3
Wynne Rogovin,Rogovin,Wynne,1981,1
Julie Schaaff,Schaaff,Julie,1983,4
Marlene Suss,Suss,Marlene,1981,1
Sharon Toll,Toll,Sharon,1983,3
Anne Updegrove,Updegrove,Anne,1979,1
Molly Sandberg,Sandberg,Molly,2021,1
Angel Deng,Deng,Angel,2018,1
Kim Altman,Altman,Kim,1993,1
Stephanie Shau,Shau,Stephanie,1993,1
Leticia Candia,Candia,Leticia,1985,1
Carolyn Young,Young,Carolyn,1985,1
Mindy Alpert,Alpert,Mindy,1984,1
Beth Berkowitz,Berkowitz,Beth,1984,2
Caroline Black,Black,Caroline,1982,1
Sarah Mott,Mott,Sarah,1982,1
Maura Fecher,Fecher,Maura,1981,1
Carrie Fishman,Fishman,Carrie,1981,1
Audrey Bernstein,Bernstein,Audrey,1980,1
Lori Freimark,Freimark,Lori,1980,1
Laura Friend,Friend,Laura,1980,2
Sandra Gilbert,Gilbert,Sandra,1980,1
Lani Ong,Ong,Lani,1980,2
Barbara Stern,Stern,Barbara,1980,1
Elizabeth Tang,Tang,Elizabeth,1980,1
Linda Young,Young,Linda,1980,2
Juli Bookstein,Bookstein,Juli,1979,1
Caren Eliezer,Eliezer,Caren,1979,3
Ann Louise Litin,Litin,Ann Louise,1979,3
Tracy Patrick,Patrick,Tracy,1979,1
Lena Sun,Sun,Lena,1979,1
Gail Besner,Besner,Gail,1978,3
Diana Bletter,Bletter,Diana,1978,2
Janet Davidson,Davidson,Janet,1978,1
Helen Dupre,Dupre,Helen,1978,1
Lisa Gollin,Gollin,Lisa,1978,3
Harriett Henderson,Henderson,Harriett,1978,2
Helen Johnson,Johnson,Helen,1978,4
Gabrielle Kaufman,Kaufman,Gabrielle,1978,1
Mary Ann Konczewski,Konczewski,Mary Ann,1978,2
Susan E. Kroop,Kroop,Susan E.,1978,3
Carmen Noguera,Noguera,Carmen,1978,2
Cathleen Redden,Redden,Cathleen,1978,3
Sarah Reynolds,Reynolds,Sarah,1978,4
Lynne Schulte,Schulte,Lynne,1978,2
Holly Stein,Stein,Holly,1978,1
Kathleen Sullivan,Sullivan,Kathleen,1978,1
Linda Van Pelt,Van Pelt,Linda,1978,1
Joanne Wallenstein,Wallenstein,Joanne,1978,1
Vivian Wohl,Wohl,Vivian,1978,1
Elena Bennett,Bennett,Elena,1977,1
Renee Brown,Brown,Renee,1977,3
Karen Bruno,Bruno,Karen,1977,1
Nancy Chenitz,Chenitz,Nancy,1977,3
Amy Husten,Husten,Amy,1977,1
Kathy Anne Jones,Jones,Kathy Anne,1977,1
Pamela Mooney,Mooney,Pamela,1977,1
Rita Redburg,Redburg,Rita,1977,3
Cathy Rogers,Rogers,Cathy,1977,1
Karen Seidler,Seidler,Karen,1977,1
Barbara Sih,Sih,Barbara,1977,3
Mary Ellen Benning,Benning,Mary Ellen,1976,2
Anne Bowen,Bowen,Anne,1976,1
Pamela Coulter,Coulter,Pamela,1976,1
Deidra Dain,Dain,Deidra,1976,1
Phyllis Graber,Graber,Phyllis,1976,2
Abby Henneman,Henneman,Abby,1976,3
Karen Krinsky,Krinsky,Karen,1976,2
Christine Miller,Miller,Christine,1976,2
Karen Roche,Roche,Karen,1976,2
Barbara Ann Sugarman,Sugarman,Barbara Ann,1976,1
Sherllyn Burnett,Burnett,Sherllyn,1975,1
Carol Clark,Clark,Carol,1975,1
Martha Golar,Golar,Martha,1975,1
Brenda Guerrera,Guerrera,Brenda,1975,1
Harriett Haan,Haan,Harriett,1975,1
Harriett Haas,Haas,Harriett,1975,1
Marilyn Neiman,Neiman,Marilyn,1975,1
Elizabeth Sagan,Sagan,Elizabeth,1975,1
Mary Ann Wickes,Wickes,Mary Ann,1975,1
Lucy Babcox,Babcox,Lucy,1974,1
Alice Bron,Bron,Alice,1974,1
Roberta Frank,Frank,Roberta,1974,1
Moira Hearne,Hearne,Moira,1974,1
Sue Coan,Coan,Sue,1973,1
Wendy Jennis,Jennis,Wendy,1973,1
Valerie DeMelville,DeMelville,Valerie,1972,1
Blythe Tracy,Tracy,Blythe,1972,1
Winifred Johnson,Winifred,Johnson,1981,1
