FirstLast,Year,YearsPlayed,Gender,fuzz_ratio,fuzz_pratio,fuzz_tokensort,fuzz_tokenset,fuzz_wratio,tennis_yn,School_yn,SameName_yn,SameTennis_yn,Decade,prediction
Victor KIAM,1947.0,1.0,1,22.0,27.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,1940.0,0.0
Charles RITCHIE,1947.0,2.0,1,32.0,33.0,45.0,77.0,77.0,0.0,0.0,0.0,0.0,1940.0,0.0
James BOYLE,1947.0,1.0,1,64.0,64.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1940.0,0.0
Henry EWALD,1947.0,1.0,1,15.0,18.0,46.0,46.0,54.0,0.0,0.0,0.0,0.0,1940.0,0.0
Robert SUTTON,1947.0,1.0,1,43.0,50.0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,1940.0,0.0
Charles CLARK,1947.0,2.0,1,11.0,15.0,34.0,34.0,28.0,0.0,0.0,0.0,0.0,1940.0,0.0
George BELL,1947.0,2.0,1,15.0,18.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,1940.0,0.0
Carleton BADGER,1947.0,3.0,1,36.0,38.0,50.0,50.0,48.0,0.0,0.0,0.0,0.0,1940.0,0.0
Alexander MURRAY,1947.0,1.0,1,71.0,73.0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,1940.0,0.0
Jack GELLER,1947.0,3.0,1,55.0,55.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1940.0,0.0
John HELMS,1948.0,1.0,1,18.0,20.0,55.0,67.0,64.0,0.0,0.0,0.0,0.0,1940.0,0.0
Richard HUNT,1948.0,4.0,1,75.0,75.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1940.0,0.0
William FORD,1948.0,2.0,1,48.0,56.0,38.0,76.0,76.0,0.0,0.0,0.0,0.0,1940.0,0.0
Philip WARD,1948.0,1.0,1,33.0,45.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,1940.0,0.0
