FirstLast,Year,YearsPlayed,Gender,fuzz_ratio,fuzz_pratio,fuzz_tokensort,fuzz_tokenset,fuzz_wratio,tennis_yn,School_yn,SameName_yn,SameTennis_yn,Decade,prediction
Sheila Ford,1973,1,0,31.0,18.0,23.0,23.0,31.0,0.0,0.0,0.0,0.0,1970,0.0
Sarah Fox,1973,1,0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,1.0,1970,1.0
Diane Straus,1973,2,0,96.0,100.0,96.0,96.0,96.0,0.0,0.0,0.0,0.0,1970,1.0
Lucy Daggett,1974,2,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1970,0.0
Margaret Mercer,1974,3,0,71.0,67.0,71.0,71.0,71.0,0.0,1.0,0.0,0.0,1970,0.0
Deborah Rhode,1974,1,0,67.0,73.0,67.0,78.0,74.0,0.0,1.0,0.0,0.0,1970,0.0
Deborah Ritter,1974,1,0,64.0,73.0,64.0,78.0,74.0,0.0,0.0,0.0,0.0,1970,0.0
Polly Smith,1974,1,0,55.0,55.0,55.0,62.0,59.0,0.0,0.0,0.0,0.0,1970,0.0
Carol Williams,1975,1,0,59.0,62.0,59.0,59.0,59.0,0.0,0.0,0.0,0.0,1970,0.0
Frances Hall,1975,2,0,32.0,35.0,32.0,32.0,32.0,0.0,1.0,0.0,0.0,1970,0.0
Christine Novak,1975,1,0,30.0,33.0,30.0,30.0,30.0,0.0,1.0,0.0,0.0,1970,0.0
Lisa Rosenblum,1975,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1970,0.0
Elena Gates,1975,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1970,0.0
Mary Baldrige,1976,1,0,37.0,54.0,46.0,47.0,86.0,0.0,0.0,0.0,0.0,1970,0.0
Laura Childs,1976,1,0,20.0,25.0,27.0,27.0,30.0,0.0,1.0,0.0,0.0,1970,0.0
Donna Claxton,1976,1,0,79.0,100.0,79.0,100.0,90.0,0.0,1.0,0.0,0.0,1970,1.0
Catherine Grossman,1976,1,0,71.0,77.0,71.0,82.0,78.0,0.0,0.0,0.0,0.0,1970,0.0
Kathryn Malone,1976,1,0,92.0,83.0,92.0,92.0,92.0,0.0,1.0,0.0,0.0,1970,1.0
Andrea Hirsch,1976,1,0,59.0,62.0,44.0,67.0,67.0,0.0,0.0,0.0,0.0,1970,0.0
Anne Sprunt,1976,1,0,29.0,45.0,31.0,31.0,47.0,0.0,0.0,0.0,0.0,1970,0.0
Marion Merrill,1976,1,0,31.0,33.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,1970,0.0
Carol O'Connor,1977,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1970,0.0
Debbie Peck,1977,1,0,28.0,36.0,34.0,34.0,38.0,0.0,0.0,0.0,0.0,1970,0.0
Susan Stone,1977,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1970,0.0
Margaret Yates,1977,3,0,43.0,43.0,43.0,43.0,43.0,0.0,1.0,0.0,0.0,1970,0.0
Joan Nolen,1977,1,0,30.0,30.0,50.0,50.0,50.0,0.0,1.0,0.0,0.0,1970,0.0
Susan Mermelstein,1977,1,0,88.0,88.0,100.0,100.0,100.0,0.0,1.0,0.0,0.0,1970,1.0
Renee Edelman,1977,2,0,92.0,92.0,96.0,96.0,96.0,1.0,1.0,0.0,1.0,1970,1.0
Linda Littke,1977,1,0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,1.0,1970,1.0
Anne Keating,1977,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1970,0.0
