FirstLast,Last,First,MidInit,MidName,Year,YearsPlayed
James Dawson,Dawson,James,,,2010,3
Michael Caldwell,Caldwell,Michael,,,2009,4
Jeff Dawson,Dawson,Jeff,,,2009,4
Joshua Lederman,Lederman,Joshua,,,2009,4
Thomas Santoro,Santoro,Thomas,,,2009,4
Rory Green,Green,Rory,,,2008,4
Joseph Vellanikaran,Vellanikaran,Joseph,,,2008,4
Christopher Lawler,Lawler,Christopher,,,2007,3
Brandon Wai,Wai,Brandon,,,2007,4
Matthew Feldman,Feldman,Matthew,,,2006,4
Milosz Gudzowski,Gudzowski,Milosz,,,2006,4
Rowan Reynolds,Reynolds,Rowan,,,2006,4
William Vidal,Vidal,William,,,2006,4
Johnny Lu,Lu,Johnny,,,2005,4
Ryan Murphy,Murphy,Ryan,,,2005,4
Andrew Arons,Arons,Andrew,,,2005,4
Daniel Clemens,Clemens,Daniel,,,2005,1
David Goldman,Goldman,David,,,2004,4
Andrew Rosenfeld,Rosenfeld,Andrew,,,2004,4
Dustin West,West,Dustin,,,2004,2
Dan Arellano,Arellano,Dan,,,2004,4
Neil Tolaney,Tolaney,Neil,,,2004,4
Steven Berke,Berke,Steven,,,2003,3
Mark Dinner,Dinner,Mark,,,2003,1
Prateek Tandon,Tandon,Prateek,,,2003,3
Ben Woodhouse,Woodhouse,Ben,,,2003,3
Gabriel Goldstein,Goldstein,Gabriel,,,2002,4
Ryan Coyle,Coyle,Ryan,,,2002,4
Christopher Shackelton,Shackelton,Christopher,,,2002,4
Eli Weiss,Weiss,Eli,,,2002,1
Darren Plokhooy,Plokhooy,Darren,,,2001,2
Bartol Letica,Letica,Bartol,,,2000,1
Jonathan Beardsley,Beardsley,Jonathan,,,1999,4
David Beynet,Beynet,David,,,1999,4
Reid Lerner,Lerner,Reid,,,1999,4
Andrew Tang,Tang,Andrew,,,1998,4
Mark Warnken,Warnken,Mark,,,1998,4
Robert Keith,Keith,Robert,,,1998,1
Aaron Lipson,Lipson,Aaron,,,1997,3
Martin Amann,Amann,Martin,,,1997,4
Cullen McMahon,McMahon,Cullen,,,1997,4
Scott Seelbach,Seelbach,Scott,,,1997,2
Michael Slimack,Slimack,Michael,,,1996,4
Josef Tesarik,Tesarik,Josef,,,1996,4
Seth Gordon,Gordon,Seth,,,1996,4
Damon Latanzi,Latanzi,Damon,,,1996,4
Royal Hansen,Hansen,Royal,,,1995,1
Adam Mandell,Mandell,Adam,,,1995,4
Aleksanteri Seppala,Seppala,Aleksanteri,,,1994,4
Stephen Griesemer,Griesemer,Stephen,,,1994,4
Robert Pohly,Pohly,Robert,S.,,1994,4
Juan Rossello,Rossello,Juan,,,1994,4
Mark Brittan,Brittan,Mark,,,1994,1
Chi-Wai Lam,Lam,Chi-Wai,,,1994,2
Raj Vaswani,Vaswani,Raj,,,1994,1
J. Henry Morsman,Morsman,J. Henry,,4th,1993,1
Marc Howard,Howard,Marc,,,1993,4
Neal Kaufman,Kaufman,Neal,,,1993,1
Matthew Quall,Quall,Matthew,,,1993,4
Anthony Aizer,Aizer,Anthony,,,1992,4
Daniel Gordon,Gordon,Daniel,,,1992,3
Jason Halperin,Halperin,Jason,,,1992,1
Kenneth Katz,Katz,Kenneth,,,1992,1
Shubert Koong,Koong,Shubert,,,1992,2
Robert Morse,Morse,Robert,,,1992,4
Jeffrey Leslie,Leslie,Jeffrey,,,1992,2
Ian Shapiro,Shapiro,Ian,,,1992,1
Jeffrey Wyshner,Wyshner,Jeffrey,,,1992,2
Craig Kennedy,Kennedy,Craig,,,1991,3
Richard Theobald,Theobald,Richard,,,1991,4
Daniel Englander,Englander,Daniel,,,1991,3
Paul Jamieson,Jamieson,Paul,,,1991,2
Edward Kaplan,Kaplan,Edward,,,1991,2
Lee Engquist,Engquist,Lee,E.,,1991,3
David Gollob,Gollob,David,,,1990,4
Chris Adams,Adams,Chris,,,1990,2
Scott Beers,Beers,Scott,,,1990,1
William Featherston,Featherston,William,,,1990,4
Cameron Ragen,Ragen,Cameron,,,1990,4
Samuel Schoonmaker,Schoonmaker,Samuel,,,1990,2
William Sibold,Sibold,William,,,1989,4
John Atwater,Atwater,John,,,1989,3
Robert Lawrence,Lawrence,Robert,,,1989,1
William Schief,Schief,William,,,1989,1
Christopher Torchia,Torchia,Christopher,,,1989,2
Barron Fletcher,Fletcher,Barron,,,1989,3
John Kim,Kim,John,,,1988,4
William Benjes,Benjes,William,D.,,1988,4
David Hoffman,Hoffman,David,H.,,1988,1
Matthew Whitehead,Whitehead,Matthew,J.,,1988,1
Jonathan Rosensweig,Rosensweig,Jonathan,P.,,1988,3
Robin Selati,Selati,Robin,P.,,1988,4
David Katz,Katz,David,S.,,1988,1
Stephen Donovan,Donovan,Stephen,,,1988,2
Andrew Thurstone,Thurstone,Andrew,B.,,1987,4
Todd Khoury,Khoury,Todd,N.,,1987,4
Douglas Robson,Robson,Douglas,O.,,1987,4
Grant Little,Little,Grant,F.,,1987,2
Jacob Wegrzyn,Wegrzyn,Jacob,M.,,1987,4
Wayne Pacelle,Pacelle,Wayne,P.,,1987,2
Edward Barkin,Barkin,Edward,S.,,1987,2
Brandon Chabner,Chabner,Brandon,S.,,1987,2
Daniel Bromberg,Bromberg,Daniel,H.,,1986,3
Daniel Solomon,Solomon,Daniel,H.,,1986,4
D. Shane Read,Read,D. Shane,,,1986,4
Neal Cavallon,Cavallon,Neal,B.,,1986,3
Mark Alexander,Alexander,Mark,C.,,1986,1
Philip Simotas,Simotas,Philip,E.,,1986,1
Charles Decell,Decell,Charles,F.,,1986,1
Dean Chadwin,Chadwin,Dean,K.,,1986,1
Christopher Vojta,Vojta,Christopher,L.,,1986,2
Bruce Herzog,Herzog,Bruce,C.,,1985,3
George Staniar,Staniar,George,S.,,1985,4
Robert Gudbranson,Gudbranson,Robert,K.,,1985,1
Sunil Hingorani,Hingorani,Sunil,R.,,1985,1
Martin Wostenholme,Wostenholme,Martin,C.,,1984,4
William Forstmann,Forstmann,William,A.,,1984,1
Robert Crates,Crates,Robert,B.,,1984,1
Paul Stoffel,Stoffel,Paul,B.,,1984,2
Andrew Fisher,Fisher,Andrew,D.,,1984,1
Bruce Pompan,Pompan,Bruce,L.,,1984,4
David Barnes,Barnes,David,M.,,1984,1
Dominic Tordjmann,Tordjmann,Dominic,T.,,1984,1
Michael Reynal,Reynal,Michael,A.,,1983,4
Glenn Layendecker,Layendecker,Glenn,W.,,1983,4
Neil Solomon,Solomon,Neil,A.,,1983,2
Richard Crews,Crews,Richard,C.,,1983,2
Charles Neuhaus,Neuhaus,Charles,E.,,1983,2
Michael Cavallon,Cavallon,Michael,F.,,1983,2
David Jordan,Jordan,David,H.,,1983,1
Mercer Bullard,Bullard,Mercer,E.,,1983,1
David Gerger,Gerger,David,B.,,1982,1
Hunter Reisner,Reisner,Hunter,S.,,1982,1
