FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Sally MacPartland, Yale,Sally MacPartland,1973,2,,,,,Yale University,Sally,W,MacPartland,A.,,,
Elizabeth Auchincloss, Yale,Elizabeth Auchincloss,1973,2,,,,,Yale University,Elizabeth,W,Auchincloss,L.,,,
Sheila Ford, Yale,Sheila Ford,1973,1,,,,,Yale University,Sheila,W,Ford,F.,,,
Sarah Fox, Yale,Sarah Fox,1973,1,,,,,Yale University,Sarah,W,Fox,M.,,,
Diane Straus, Yale,Diane Straus,1973,2,,,,,Yale University,Diane,W,Straus,E.,,,
Lucy Daggett, Yale,Lucy Daggett,1974,2,,,,,Yale University,Lucy,W,Daggett,L.,,,
Linden Havemeyer, Yale,Linden Havemeyer,1974,3,,,,,Yale University,Linden,W,Havemeyer,,,,
Louise Lippincott, Yale,Louise Lippincott,1974,1,,,,,Yale University,Louise,W,Lippincott,,,,
Margaret Mercer, Yale,Margaret Mercer,1974,3,,,,,Yale University,Margaret,W,Mercer,C.,,,
Deborah Rhode, Yale,Deborah Rhode,1974,1,,,,,Yale University,Deborah,W,Rhode,L.,,,
Deborah Ritter, Yale,Deborah Ritter,1974,1,,,,,Yale University,Deborah,W,Ritter,B.,,,
A. Julianna Gulya, Yale,A. Julianna Gulya,1974,1,,,,,Yale University,A. Julianna,W,Gulya,,,,
Polly Smith, Yale,Polly Smith,1974,1,,,,,Yale University,Polly,W,Smith,D.,,,
Susan Gootrad, Yale,Susan Gootrad,1975,2,,,,,Yale University,Susan,W,Gootrad,R.,,,
Carol Williams, Yale,Carol Williams,1975,1,,,,,Yale University,Carol,W,Williams,H.,,,
Frances Hall, Yale,Frances Hall,1975,2,,,,,Yale University,Frances,W,Hall,M.,,,
Barbara Krasa, Yale,Barbara Krasa,1975,1,,,,,Yale University,Barbara,W,Krasa,A.,,,
Christine Novak, Yale,Christine Novak,1975,1,,,,,Yale University,Christine,W,Novak,A.,,,
Jani Rachelson, Yale,Jani Rachelson,1975,2,,,,,Yale University,Jani,W,Rachelson,K.,,,
Lisa Rosenblum, Yale,Lisa Rosenblum,1975,3,,,,,Yale University,Lisa,W,Rosenblum,,,,
Elena Gates, Yale,Elena Gates,1975,1,,,,,Yale University,Elena,W,Gates,A.,,,
Sarah Muyskens, Yale,Sarah Muyskens,1976,1,,,,,Yale University,Sarah,W,Muyskens,E.,,,
Mary Baldrige, Yale,Mary Baldrige,1976,1,,,,,Yale University,Mary,W,Baldrige,T.,,,
Laura Childs, Yale,Laura Childs,1976,1,,,,,Yale University,Laura,W,Childs,M.,,,
Donna Claxton, Yale,Donna Claxton,1976,1,,,,,Yale University,Donna,W,Claxton,J.,,,
Catherine Grossman, Yale,Catherine Grossman,1976,1,,,,,Yale University,Catherine,W,Grossman,,,,
Kathryn Malone, Yale,Kathryn Malone,1976,1,,,,,Yale University,Kathryn,W,Malone,R.,,,
Andrea Hirsch, Yale,Andrea Hirsch,1976,1,,,,,Yale University,Andrea,W,Hirsch,G.,,,
Anne Sprunt, Yale,Anne Sprunt,1976,1,,,,,Yale University,Anne,W,Sprunt,G.,,,
Marion Merrill, Yale,Marion Merrill,1976,1,,,,,Yale University,Marion,W,Merrill,F.,,,
Carol O'Connor, Yale,Carol O'Connor,1977,1,,,,,Yale University,Carol,W,O'Connor,M.,,,
Kelly McCaffrey, Yale,Kelly McCaffrey,1977,1,,,,,Yale University,Kelly,W,McCaffrey,L.,,,
Debbie Peck, Yale,Debbie Peck,1977,1,,,,,Yale University,Debbie,W,Peck,C.,,,
Susan Stone, Yale,Susan Stone,1977,1,,,,,Yale University,Susan,W,Stone,,,,
Margaret Yates, Yale,Margaret Yates,1977,3,,,,,Yale University,Margaret,W,Yates,A.,,,
Joan Nolen, Yale,Joan Nolen,1977,1,,,,,Yale University,Joan,W,Nolen,D.,,,
Susan Mermelstein, Yale,Susan Mermelstein,1977,1,,,,,Yale University,Susan,W,Mermelstein,J.,,,
Christin Mamiya, Yale,Christin Mamiya,1977,1,,,,,Yale University,Christin,W,Mamiya,J.,,,
Renee Edelman, Yale,Renee Edelman,1977,2,,,,,Yale University,Renee,W,Edelman,S.,,,
Linda Littke, Yale,Linda Littke,1977,1,,,,,Yale University,Linda,W,Littke,J.,,,
Anne Keating, Yale,Anne Keating,1977,1,,,,,Yale University,Anne,W,Keating,F.,,,
Hollister Hartman, Yale,Hollister Hartman,1977,2,,,,,Yale University,Hollister,W,Hartman,A.,,,
Elizabeth Harrison, Yale,Elizabeth Harrison,1977,1,,,,,Yale University,Elizabeth,W,Harrison,A.,,,
Jessie-Kay Cheng, Yale,Jessie-Kay Cheng,1977,1,,,,,Yale University,Jessie-Kay,W,Cheng,W.,,,
Mariana Coleman, Yale,Mariana Coleman,1977,1,,,,,Yale University,Mariana,W,Coleman,G.,,,
Anne Davidson, Yale,Anne Davidson,1977,2,,,,,Yale University,Anne,W,Davidson,T.,,,
Francine Hanberg, Yale,Francine Hanberg,1977,1,,,,,Yale University,Francine,W,Hanberg,B.,,,
Anne Lovett, Yale,Anne Lovett,1977,1,,,,,Yale University,Anne,W,Lovett,R.,,,
Abbe Anderson, Yale,Abbe Anderson,1978,1,,,,,Yale University,Abbe,W,Anderson,F.,,,
Barbara Chou, Yale,Barbara Chou,1978,1,,,,,Yale University,Barbara,W,Chou,E.,,,
Sara Cole, Yale,Sara Cole,1978,2,,,,,Yale University,Sara,W,Cole,B.,,,
Susan Graham, Yale,Susan Graham,1978,4,,,,,Yale University,Susan,W,Graham,N.,,,
Martha Mahoney, Yale,Martha Mahoney,1978,2,,,,,Yale University,Martha,W,Mahoney,,,,
Elizabeth Munson, Yale,Elizabeth Munson,1978,2,,,,,Yale University,Elizabeth,W,Munson,P.,,,
Rachel Rush, Yale,Rachel Rush,1978,1,,,,,Yale University,Rachel,W,Rush,,,,
Anne Seidler, Yale,Anne Seidler,1978,4,,,,,Yale University,Anne,W,Seidler,E.,,,
Abbe Smith, Yale,Abbe Smith,1978,1,,,,,Yale University,Abbe,W,Smith,L.,,,
Lisa Prager, Yale,Lisa Prager,1978,1,,,,,Yale University,Lisa,W,Prager,A.,,,
Karen Feldman, Yale,Karen Feldman,1979,3,,,,,Yale University,Karen,W,Feldman,M.,,,
Ann Freeman, Yale,Ann Freeman,1979,1,,,,,Yale University,Ann,W,Freeman,M.,,,
Cynthia Hayden, Yale,Cynthia Hayden,1979,1,,,,,Yale University,Cynthia,W,Hayden,A.,,,
Randall Katz, Yale,Randall Katz,1979,1,,,,,Yale University,Randall,W,Katz,M.,,,
Sylvia Madrigan, Yale,Sylvia Madrigan,1979,1,,,,,Yale University,Sylvia,W,Madrigan,,,,
Valerie Tebbetts, Yale,Valerie Tebbetts,1979,2,,,,,Yale University,Valerie,W,Tebbetts,A.,,,
Eve Ellis, Yale,Eve Ellis,1980,3,,,,,Yale University,Eve,W,Ellis,E.,,,
Christine Heselmann, Yale,Christine Heselmann,1980,1,,,,,Yale University,Christine,W,Heselmann,J.,,,
Nina Locker, Yale,Nina Locker,1980,1,,,,,Yale University,Nina,W,Locker,F.,,,
Celia Moffie, Yale,Celia Moffie,1980,3,,,,,Yale University,Celia,W,Moffie,J.,,,
Elizabeth Pepper, Yale,Elizabeth Pepper,1980,1,,,,,Yale University,Elizabeth,W,Pepper,A.,,,
Natalya Smith, Yale,Natalya Smith,1981,4,,,,,Yale University,Natalya,W,Smith,M.,,,
Lynn Garfinkle, Yale,Lynn Garfinkle,1981,2,,,,,Yale University,Lynn,W,Garfinkle,,,,
Helen McSweeney, Yale,Helen McSweeney,1981,1,,,,,Yale University,Helen,W,McSweeney,J.,,,
Alison Poorvu, Yale,Alison Poorvu,1981,1,,,,,Yale University,Alison,W,Poorvu,,,,
Janis Dubno, Yale,Janis Dubno,1981,2,,,,,Yale University,Janis,W,Dubno,A.,,,
Sally Sprole, Yale,Sally Sprole,1982,1,,,,,Yale University,Sally,W,Sprole,,,,
Stacy Riely, Yale,Stacy Riely,1982,4,,,,,Yale University,Stacy,W,Riely,L.,,,
Caroline McAlister, Yale,Caroline McAlister,1982,4,,,,,Yale University,Caroline,W,McAlister,L.,,,
Diana Piotrow, Yale,Diana Piotrow,1982,4,,,,,Yale University,Diana,W,Piotrow,R.,,,
Kathleen Dalton, Yale,Kathleen Dalton,1982,3,,,,,Yale University,Kathleen,W,Dalton,,,,
Pamela Wolf, Yale,Pamela Wolf,1983,4,,,,,Yale University,Pamela,W,Wolf,J.,,,
Elizabeth Marlin, Yale,Elizabeth Marlin,1983,1,,,,,Yale University,Elizabeth,W,Marlin,,,,
Nancy Zetley, Yale,Nancy Zetley,1983,1,,,,,Yale University,Nancy,W,Zetley,E.,,,
Amy Levin, Yale,Amy Levin,1983,1,,,,,Yale University,Amy,W,Levin,S.,,,
Kristin Larson, Yale,Kristin Larson,1983,2,,,,,Yale University,Kristin,W,Larson,K.,,,
Christine Grimm, Yale,Christine Grimm,1983,1,,,,,Yale University,Christine,W,Grimm,S.,,,
Dede Fox, Yale,Dede Fox,1983,2,,,,,Yale University,Dede,W,Fox,,,,
Sherry Licht, Yale,Sherry Licht,1983,1,,,,,Yale University,Sherry,W,Licht,G.,,,
Joanne Van Woert, Yale,Joanne Van Woert,1983,1,,,,,Yale University,Joanne,W,Van Woert,,,,
Laura Cutler, Yale,Laura Cutler,1984,1,,,,,Yale University,Laura,W,Cutler,J.,,,
Sarah Duff, Yale,Sarah Duff,1984,2,,,,,Yale University,Sarah,W,Duff,U.,,,
Randee Farfel, Yale,Randee Farfel,1984,1,,,,,Yale University,Randee,W,Farfel,N.,,,
Jacqueline Geller, Yale,Jacqueline Geller,1984,3,,,,,Yale University,Jacqueline,W,Geller,S.,,,
Anne Hutchins, Yale,Anne Hutchins,1984,1,,,,,Yale University,Anne,W,Hutchins,R.,,,
Kathleen Keating, Yale,Kathleen Keating,1984,1,,,,,Yale University,Kathleen,W,Keating,M.,,,
Elizabeth Mairs, Yale,Elizabeth Mairs,1984,1,,,,,Yale University,Elizabeth,W,Mairs,R.,,,
Ellen Markowitz, Yale,Ellen Markowitz,1984,4,,,,,Yale University,Ellen,W,Markowitz,S.,,,
Kristin DiMambro, Yale,Kristin DiMambro,1984,1,,,,,Yale University,Kristin,W,DiMambro,A.,,,
Rosemind White, Yale,Rosemind White,1985,1,,,,,Yale University,Rosemind,W,White,,,,
Constance Yowell, Yale,Constance Yowell,1985,4,,,,,Yale University,Constance,W,Yowell,M.,,,
Mary Woolomes, Yale,Mary Woolomes,1985,1,,,,,Yale University,Mary,W,Woolomes,T.,,,
Gretchen Biggs, Yale,Gretchen Biggs,1985,2,,,,,Yale University,Gretchen,W,Biggs,G.,,,
Lisa Katz, Yale,Lisa Katz,1986,2,,,,,Yale University,Lisa,W,Katz,K.,,,
Hilary Bates, Yale,Hilary Bates,1986,1,,,,,Yale University,Hilary,W,Bates,,,,
Jennifer Colville, Yale,Jennifer Colville,1986,3,,,,,Yale University,Jennifer,W,Colville,A.,,,
Daniella Duke, Yale,Daniella Duke,1986,3,,,,,Yale University,Daniella,W,Duke,,,,
Wendy Fischl, Yale,Wendy Fischl,1986,3,,,,,Yale University,Wendy,W,Fischl,A.,,,
Katherine Gressens, Yale,Katherine Gressens,1986,2,,,,,Yale University,Katherine,W,Gressens,L.,,,
Susan Liebowitz, Yale,Susan Liebowitz,1986,3,,,,,Yale University,Susan,W,Liebowitz,D.,,,
Nancy Mahon, Yale,Nancy Mahon,1986,1,,,,,Yale University,Nancy,W,Mahon,,,,
Wendy Schwarz, Yale,Wendy Schwarz,1986,1,,,,,Yale University,Wendy,W,Schwarz,T.,,,
