FirstLast,Last,First,MidInit,Year,YearsPlayed
Elizabeth Auchincloss,Auchincloss,Elizabeth,L.,1973,2
Sheila Ford,Ford,Sheila,F.,1973,1
Sarah Fox,Fox,Sarah,M.,1973,1
Sally MacPartland,MacPartland,Sally,A.,1973,2
Diane Straus,Straus,Diane,E.,1973,2
Lucy Daggett,Daggett,Lucy,L.,1974,2
A. Julianna Gulya,Gulya,A. Julianna,,1974,1
Linden Havemeyer,Havemeyer,Linden,,1974,3
Louise Lippincott,Lippincott,Louise,,1974,1
Margaret Mercer,Mercer,Margaret,C.,1974,3
Deborah Rhode,Rhode,Deborah,L.,1974,1
Deborah Ritter,Ritter,Deborah,B.,1974,1
Polly Smith,Smith,Polly,D.,1974,1
Elena Gates,Gates,Elena,A.,1975,1
Susan Gootrad,Gootrad,Susan,R.,1975,2
Frances Hall,Hall,Frances,M.,1975,2
Barbara Krasa,Krasa,Barbara,A.,1975,1
Christine Novak,Novak,Christine,A.,1975,1
Jani Rachelson,Rachelson,Jani,K.,1975,2
Lisa Rosenblum,Rosenblum,Lisa,,1975,3
Carol Williams,Williams,Carol,H.,1975,1
Mary Baldrige,Baldrige,Mary,T.,1976,1
Laura Childs,Childs,Laura,M.,1976,1
Donna Claxton,Claxton,Donna,J.,1976,1
Catherine Grossman,Grossman,Catherine,,1976,1
Andrea Hirsch,Hirsch,Andrea,G.,1976,1
Kathryn Malone,Malone,Kathryn,R.,1976,1
Marion Merrill,Merrill,Marion,F.,1976,1
Sarah Muyskens,Muyskens,Sarah,E.,1976,1
Anne Sprunt,Sprunt,Anne,G.,1976,1
Jessie-Kay Cheng,Cheng,Jessie-Kay,W.,1977,1
Mariana Coleman,Coleman,Mariana,G.,1977,1
Anne Davidson,Davidson,Anne,T.,1977,2
Renee Edelman,Edelman,Renee,S.,1977,2
Francine Hanberg,Hanberg,Francine,B.,1977,1
Elizabeth Harrison,Harrison,Elizabeth,A.,1977,1
Hollister Hartman,Hartman,Hollister,A.,1977,2
Anne Keating,Keating,Anne,F.,1977,1
Linda Littke,Littke,Linda,J.,1977,1
Anne Lovett,Lovett,Anne,R.,1977,1
Christin Mamiya,Mamiya,Christin,J.,1977,1
Kelly McCaffrey,McCaffrey,Kelly,L.,1977,1
Susan Mermelstein,Mermelstein,Susan,J.,1977,1
Joan Nolen,Nolen,Joan,D.,1977,1
Carol O'Connor,O'Connor,Carol,M.,1977,1
